TANGLISH_NAME,TAMIL_NAME,QUANTITY,SELLING_PRICE,QUANTITY_TYPE,CATEGORY
CLUSTER BEANS (KOTHAVARAI),கொத்து பீன்ஸ் (கொத்தவரை),8,80,Kg,VEG
RADISH KEERAI,முள்ளங்கி கீரை,8,30,Kg,VEG
GREEN PEAS,பச்சை பட்டாணி,8,300,Kg,VEG
COCONUT POLI,தேங்காய் போலி,8,20,Kg,SNACKS
KAALABATH,கலாபத்,8,200,Kg,PROVISIONS
CAPSICUM RED TYPE-1,கேப்சிகம் சிவப்பு,8,200,Kg,VEG
DRY LONG RED CHILLI,உலர் நீண்ட சிவப்பு மிளகாய்,8,350,Kg,PROVISIONS
RAGI RAVA,ராகி ராவா,8,49,Kg,PROVISIONS
VARAGU RAVA,வரகு ராவா,8,180,Kg,PROVISIONS
SAAMAI RAVA,சாமை ராவா,8,190,Kg,PROVISIONS
KAMBU RAVA,கம்பு ரவா,8,150,Kg,PROVISIONS
KUTHIRAIVALLI RAVA,குதிரைவல்லி ராவா,8,200,Kg,PROVISIONS
PINEAPPLE,அன்னாசிப்பழம்,8,100,Kg,FRUITS
CAPSICUM YELLOW,கேப்சிகம் மஞ்சள்,8,180,Kg,VEG
CAPSICUM RED TYPE-2,கேப்சிகம் சிவப்பு 2,8,400,Kg,VEG
APPLE,ஆப்பிள்,8,300,Kg,FRUITS
SEASAME BLACK,சீசேம் பிளாக்,8,220,Kg,PROVISIONS
BEETROOT,பீட்ரூட்,8,130,Kg,VEG
DRY SHORT RED CHILLI,உலர் குறுகிய சிவப்பு மிளகாய்,8,350,Kg,PROVISIONS
MUSTARD(KADUGU),கடுகு(கடுகு),8,200,Kg,PROVISIONS
DRY GRAPES,உலர் திராட்சை,8,500,Kg,PROVISIONS
RAJAMUDI RICE,ராஜமுடி அரிசி,8,120,Kg,PROVISIONS
RNR RAW RICE,RNR மூல அரிசி,8,110,Kg,PROVISIONS
THINAI RAVA,திணை ராவா,8,180,Kg,PROVISIONS
THINAI,திணை,8,140,Kg,PROVISIONS
KULLAKAAR AVAL,குல்லக்கார் அவள்,0,140,Kg,PROVISIONS
WHITE AVAL,வெள்ளை அவல்,8,100,Kg,PROVISIONS
THOOYAMALLI RAW RICE,தூயமல்லி பச்சை அரிசி,8,110,Kg,PROVISIONS
NAVARA RICE,நவரா அரிசி,8,110,Kg,PROVISIONS
PEPPER,மிளகு,8,900,Kg,PROVISIONS
VENDHAYAM,வேந்தயம்,8,400,Kg,PROVISIONS
INDU UPPU,இந்து உப்பு,8,140,Kg,PROVISIONS
ULLUNTHU(BLACK SPLIT),உளுந்து (கருப்பு பிளவு),8,170,Kg,PROVISIONS
BLACK HORSE GRAM,கருப்பு குதிரை கிராம்,8,100,Kg,PROVISIONS
MULTI NOODLES,பல நூடுல்ஸ்,8,60,Piece,PROVISIONS
KUTHIRAIVALLI NOODLES,குதிரைவல்லி நூடுல்ஸ்,8,60,Piece,PROVISIONS
SOYA NOODLES,சோயா நூடுல்ஸ்,8,65,Piece,PROVISIONS
SAAMAI NOODLES,சாமை நூடுல்ஸ்,8,60,Piece,PROVISIONS
RAGI NOODLES,ராகி நூடுல்ஸ்,8,60,Piece,PROVISIONS
KAMBU NOODLES,கம்பு நூடுல்ஸ்,8,65,Piece,PROVISIONS
VARAGU NOODLES,வரகு நூடுல்ஸ்,8,60,Piece,PROVISIONS
THINAI NOODLES,தைனை நூடுல்ஸ்,8,60,Piece,PROVISIONS
RED RICE NOODLES,சிவப்பு அரிசி நூடுல்ஸ்,8,60,Piece,PROVISIONS
BASUMATHI RICE,பாசுமதி அரிசி,8,150,Kg,PROVISIONS
RED AVAL,சிவப்பு அவல்,8,120,Kg,PROVISIONS
CORIANDER POWDER,கொத்தமல்லி தூள்,8,400,Kg,PROVISIONS
PANIVARAGU,பனிவரகு,8,150,Kg,PROVISIONS
HAND MURUKKU,கை முறுக்கு,8,500,Kg,SNACKS
CARDAMOM(YELLAKAI),ஏலக்காய்(யெல்லக்கை),8,1600,Kg,PROVISIONS
PATTAI(CINNAMON STICK),பட்டை (இலவங்கப்பட்டை),8,500,Kg,PROVISIONS
BUTTER MURUKKU,வெண்ணெய் முறுக்கு,8,600,Kg,SNACKS
DIABETIC KANJI MAVU,சர்க்கரை நோய் கஞ்சி மாவு,8,400,Kg,PROVISIONS
CHILLI POWDER,மிளகாய் தூள்,8,400,Kg,PROVISIONS
BLACK URAD DALL KANJI MIX,கருப்பு உரட் டால் கஞ்சி கலவை,8,400,Kg,ORGANIC FOOD
PINK ROCK SALT,பிங்க் ராக் சால்ட்,8,140,Kg,PROVISIONS
THOOYAMALLI BOILED KAIKUTHAL,தூயமல்லி வேகவைத்த கைகுத்தல்,8,120,Kg,PROVISIONS
KARUPPU KAVUNI NOODLES,கருப்பு கவுனி நூடுல்ஸ்,8,75,Piece,PROVISIONS
MAPPILLAI SAMBA NOODLES,மாப்பிள்ளை சம்பா நூடுல்ஸ்,8,75,Piece,PROVISIONS
KOLLU NO0DLES,கொல்லு நொடில்ஸ்,8,65,Kg,PROVISIONS
WHEAT NOODLES,கோதுமை நூடுல்ஸ்,8,65,Piece,PROVISIONS
SEERAGA SAMBHA,சீரக சம்பா,8,140,Kg,PROVISIONS
BLACK CHANNA,பிளாக் சன்னா,8,150,Kg,PROVISIONS
WHITE CHANNA,வெள்ளை சன்னா,8,190,Kg,PROVISIONS
KERALA MATTA RICE,கேரளா மட்டா அரிசி,8,100,Kg,PROVISIONS
BLACK KAVUNI RICE,கருப்பு கவுனி அரிசி,8,275,Kg,PROVISIONS
THOOYAMALLI RICE,தூயமல்லி அரிசி,8,110,Kg,PROVISIONS
PONNI RAW,பொன்னி ரா,8,110,Kg,PROVISIONS
POONGAR,பூங்கர்,8,110,Kg,PROVISIONS
MAPILLAI SAMBHA,மாப்பிள்ளை சம்பா,8,110,Kg,PROVISIONS
KARUPATTI,கருப்பட்டி,8,400,Kg,PROVISIONS
PANAM KARKANDU,பணம் கற்கண்டு,8,1000,Kg,PROVISIONS
EGG,முட்டை,8,17,Kg,VEG
DELIVERY CHARGE,டெலிவரி கட்டணம்,8,20,Kg,VEG
KAVUNI MURRUKU,கவுனி முறுக்கு,8,600,Kg,SNACKS
DIWALI ORGANIC SNACKS(500GM),தீபாவளி ஆர்கானிக் ஸ்நாக்ஸ் (500GM),8,399,Kg,SNACKS
DIWALI ORGANIC SNACKS(1KG),தீபாவளி ஆர்கானிக் ஸ்நாக்ஸ் (1 கிலோ),8,699,Kg,SNACKS
NATTUSAKKARAI MYSOREPAK,நாட்டுசக்கரை மைசூர்பாக்,8,800,Kg,SNACKS
DRY FRUITS COCONUT BURFI,உலர் பழங்கள் தேங்காய் பர்ஃபி,8,500,Kg,SNACKS
BLACK URAD DHALL LADOO,கருப்பு உரத் தால் லடூ,8,600,Kg,SNACKS
SONA MASURI RICE,சோனா மசூரி அரிசி,8,100,Kg,PROVISIONS
THOOYAMALLI BROKEN,தூயமல்லி உடைந்தது,8,80,Kg,PROVISIONS
KARAMANI PAYAR,காராமணி பயர்,8,130,Kg,PROVISIONS
NAVRATHRI COMBO PACK,நவராத்திரி காம்போ பேக்,8,850,Kg,PROVISIONS
CURD,தயிர்,8,60,Kg,PROVISIONS
MASALA ITEMS,மசாலா பொருட்கள்,8,100,Kg,PROVISIONS
KARUPU KAUVNI MURUKKU,கருப்பு கவுனி முறுக்கு,8,600,Kg,SNACKS
KICHALLI SAMBHA (RAW),கிச்சல்லி சம்பா (ரா),8,100,Kg,PROVISIONS
VINAYAGAR IDOL &POT,விநாயகர் சிலை & பானை,8,350,Kg,ASTRIYA
VILANGA,விலாங்கா,8,100,Kg,FRUITS
NARTHANKAI,நர்த்தங்காய்,8,120,Kg,VEG
KOZHUKATTAI MAAVU,கோழிக்கட்டை மாவு,8,130,Kg,PROVISIONS
ELLU URUNDAI,எழு உருண்டை,0,400,Kg,SNACKS
PORI VILANGA URUNDAI,பொரி விளாங்க உருண்டை,8,300,Kg,SNACKS
ATHIRASAM,அதிரசம்,8,600,Kg,SNACKS
SUKKU (DRY GINGER),சுக்கு (உலர்ந்த இஞ்சி),8,400,Kg,PROVISIONS
HERBAL TEA,மூலிகை தேநீர்,8,10,Kg,SNACKS
RAW MANGO,பச்சை மாம்பழம்,8,40,Kg,VEG
FIG FRUIT,அத்திப்பழம்,8,300,Kg,FRUITS
OLD BALANCE,பழைய இருப்பு,8,10,Kg,ASTRIYA
CHAPPATHI,சப்பாத்தி,8,60,Kg,ORGANIC FOOD
MALKOVA MANGO,மல்கோவா மாம்பழம்,8,200,Kg,FRUITS
ORGANIC SNACKS,ஆர்கானிக் ஸ்நாக்ஸ்,8,30,Kg,SNACKS
CASTOR OIL,ஆமணக்கு எண்ணெய்,8,280,Kg,PROVISIONS
NUNGU (ICE APPLE),நுங்கு (ஐஸ் ஆப்பிள்),8,5,Kg,FRUITS
MULAIKEERAI SEEDS,முலைகீரை விதைகள்,8,40,Kg,PROVISIONS
ARAI KEERAI SEEDS,ARAI கீரை விதைகள்,8,40,Kg,PROVISIONS
VENDHAYA KEERAI SEEDS,வெண்தாய கீரை விதைகள்,8,40,Kg,PROVISIONS
PALAK KEERAI (SEEDS),பாலக் கீரை (விதைகள்),8,40,Kg,PROVISIONS
VARAGU LADDU,வரகு லட்டு,8,600,Kg,SNACKS
ORGANIC SPL MILK,ஆர்கானிக் ஸ்பிஎல் பால்,8,30,Kg,SNACKS
BANANA BONDA,வாழை போண்டா,8,20,Kg,SNACKS
ORGANIC CHAAT,ஆர்கானிக் அரட்டை,8,20,Kg,SNACKS
COCONUT WATER,தேங்காய் தண்ணீர்,8,45,Kg,FRUITS
PARUPPU KEERAI,பருப்பு கீரை,8,40,Piece,GREENS
ORGANIC PAYASAM,ஆர்கானிக் பாயாசம்,8,20,Kg,SNACKS
SUNDAKKA PICKLE,சுண்டக்கா ஊறுகாய்,8,1000,Piece,PROVISIONS
TOMATO THOKKU,தக்காளி தொக்கு,8,800,Kg,SNACKS
PARRUPU PODI,பருப்பு பொடி,8,400,Kg,PROVISIONS
PUTTU MAVU,புட்டு மாவு,8,120,Kg,PROVISIONS
ORGANIC SOUP,ஆர்கானிக் சூப்,8,20,Kg,SNACKS
KULLAKAAR AVAL LADDU,குல்லக்கார் அவள் லட்டு,8,300,Kg,SNACKS
KUDAMPULLI,குடம்புள்ளி,8,500,Kg,PROVISIONS
RAGI LADDU,ராகி லட்டு,8,300,Kg,SNACKS
ORGANIC MIXER,ஆர்கானிக் மிக்சர்,8,400,Kg,FRUITS
ORGANIC PAYAR,ஆர்கானிக் பையர்,8,25,Kg,SNACKS
ORGANIC KEERAI SOUP,ஆர்கானிக் கீரை சூப்,8,15,Kg,SNACKS
SEASAME WHITE,கடல் வெள்ளை,8,370,Kg,PROVISIONS
MANATHAKALI BERRIES,மணத்தக்காளி பெர்ரி,8,360,Kg,VEG
TURMERIC PLANT,மஞ்சள் செடி,8,50,Kg,PROVISIONS
PANAKIZHANGU,பனகிழங்கு,8,15,Kg,VEG
MIXED VEGGIES,கலப்பு காய்கறிகள்,8,150,Kg,VEG
PONGAL COMBO,பொங்கல் சேர்க்கை,8,699,Kg,PROVISIONS
SUGARCANE,கரும்பு,8,60,Kg,FRUITS
ORGANIC IDLI BATTER,ஆர்கானிக் இட்லி மாவு,8,80,Kg,PROVISIONS
SWEET CORN,ஸ்வீட் கார்ன்,8,80,Kg,VEG
PEERANDAI,பீரந்தை,8,30,Kg,FRUITS
KAMALA ORANGE,கமலா ஆரஞ்சு,8,150,Kg,FRUITS
IDIYAPPAM FLOUR,இடியப்பம் மாவு,8,160,Kg,PROVISIONS
PEANUT BAR(KADALAI MITTAI),வேர்க்கடலை பார்(கடலை மிட்டாய்),8,50,Kg,SNACKS
MILLET IDLI BATTER,தினை இட்லி மாவு,8,110,Kg,PROVISIONS
PACHARISI MURUKKU,பச்சரிசி முறுக்கு,8,400,Kg,SNACKS
NATTUSAKKARAI LADDU,நாட்டுசக்கரை லட்டு,8,400,Kg,SNACKS
RAIL KATTAM (SWEET),ரயில் கட்டம் (இனிப்பு),8,65,Kg,SNACKS
RAIL KATTAM (KARAM),ரயில் கட்டம் (கரம்),8,65,Kg,SNACKS
THATTAI RAGI,தட்டாய் ராகி,8,600,Kg,SNACKS
SOMAAS(RAGI),சோமாஸ்(ராகி),8,500,Kg,SNACKS
SOMAAS(CHOLAM),சோமாஸ்(சோலம்),8,500,Kg,SNACKS
SOMAAS(KAMBU),சோமாஸ்(கம்பு),8,500,Kg,SNACKS
SOMAAS(WHEAT),சோமாஸ் (கோதுமை),0,500,Kg,SNACKS
SWEET BOX (BIG),ஸ்வீட் பாக்ஸ் (பெரிய),8,490,Kg,SNACKS
SWEET BOX (SMALL),ஸ்வீட் பாக்ஸ் (சிறியது),8,250,Kg,SNACKS
PANNER GRAPES,பன்னீர் திராட்சை,8,170,Kg,FRUITS
MAPILLAI SAMBHA PORI,மாப்பிள்ளை சம்ப பொரி,8,140,Kg,PROVISIONS
FESTIVAL PACK,பண்டிகை பேக்,8,799,Kg,PROVISIONS
SEPPA KILANGU,செப்ப கிழங்கு,8,120,Kg,VEG
WHITE MOCHAI,வெள்ளை மொச்சை,8,200,Kg,PROVISIONS
GHEE,நெய்,8,1500,Kg,PROVISIONS
KARUVEPILLAI PODI,கருவேப்பிலைப் பொடி,8,1000,Kg,PROVISIONS
GARLIC HILLS,பூண்டு மலைகள்,0,320,Kg,VEG
KADALA MAAVU(FLOUR),கடல மாவு (மாவு),8,160,Kg,PROVISIONS
RAW RICE FLOUR,கச்சா அரிசி மாவு,0,150,Kg,PROVISIONS
NARTHANKAI LEAVES,நர்த்தங்காய் வெளியேறுகிறது,8,40,Piece,GREENS
BAJJI MILLAGAI,பஜ்ஜி மில்லகை,8,100,Kg,VEG
KARUDAN SAMBHA,கருடன் சம்பா,8,120,Kg,PROVISIONS
ARUKAMPULL,அருகம்புல்,8,10,Kg,PROVISIONS
MANGO LEAVES,மாங்காய் இலைகள்,8,20,Kg,PROVISIONS
ERRUKKA MALAI,எருக்க மலை,8,20,Kg,PROVISIONS
KARISELANGANNI,கரிசெலங்கண்ணி,8,30,Piece,GREENS
THORANAM,தோரணம்,8,10,Kg,PROVISIONS
MYIL IRRAGU,மயில் இரகு,8,25,Kg,PROVISIONS
KUPPAMANNI,குப்பமன்னி,8,30,Piece,GREENS
THINAI FLOUR,திணை மாவு,8,120,Kg,PROVISIONS
APPLE (GOLDEN GREEN),ஆப்பிள் (கோல்டன் கிரீன்),8,270,Kg,FRUITS
CORN,சோளம்,8,65,Kg,VEG
AMMANPACHARISI,அம்மன்பச்சாரிசி,8,15,Piece,GREENS
SPINACH RED,கீரை சிவப்பு,8,40,Piece,GREENS
VARAGU FLOUR,வரகு மாவு,8,120,Kg,PROVISIONS
SAAMAI FLOUR,சாமை மாவு,8,140,Kg,PROVISIONS
CURRY LEAVES,கறிவேப்பிலை,8,0,Piece,GREENS
KALYANA MURUNGAI,கல்யாண முருங்கை,8,30,Piece,GREENS
PIRANDAI,பிறண்டை,8,30,Piece,GREENS
MUSAMBI (SATHUKUTTI),முசம்பி (சத்துக்குட்டி),8,130,Kg,FRUITS
DRUM STICK LEAVES,டிரம் ஸ்டிக் இலைகள்,8,30,Piece,GREENS
SIVAN SAMBHA,சிவன் சம்பா,8,120,Kg,PROVISIONS
TOMOTA(BANGALORE),தக்காளி (பெங்களூர்),8,70,Kg,VEG
PONNI BOILED,பொன்னி கொதித்தது,8,110,Kg,PROVISIONS
MOTCHA,மோட்சா,8,120,Kg,VEG
KUTHIRAIVALLI FLOUR,குதிரைவல்லி மாவு,8,140,Kg,PROVISIONS
WHEAT RAVA,கோதுமை ரவா,8,190,Kg,PROVISIONS
HERBAL LEAVES,மூலிகை இலைகள்,8,30,Piece,GREENS
BANANA LEAF,வாழை இலை,8,20,Kg,VEG
TREE TOMATO,மரம் தக்காளி,8,100,Kg,VEG
BROCOLI,ப்ரோகோலி,8,285,Kg,VEG
JAMUN(NAVAL),ஜாமுன் (நாவல்),0,300,Kg,FRUITS
NEEM OIL,வேப்ப எண்ணெய்,8,400,Kg,PROVISIONS
MINI YELLOW PUMKIN,மினி மஞ்சள் பூசணிக்காய்,8,90,Kg,VEG
KARNA KILANGU,கர்ண கிழங்கு,8,90,Kg,VEG
Mango thokku,மாங்காய் தோக்கு,8,150,Kg,PROVISIONS
Cut mango pickle,மாங்காய் ஊறுகாயை நறுக்கவும்,8,120,Piece,PROVISIONS
Roasted peanut,வறுத்த வேர்க்கடலை,8,250,Kg,PROVISIONS
Kulambu milagai podi,குழம்பு மிளகாய் பொடி,8,700,Kg,PROVISIONS
Sombu,சோம்பு,8,800,Kg,PROVISIONS
Organic powder,ஆர்கானிக் தூள்,8,175,Kg,PROVISIONS
Kavuni rice flour,கவுனி அரிசி மாவு,8,220,Kg,PROVISIONS
Naarthangai Dry vathal,நார்த்தங்கை உலர் வத்தல்,8,500,Kg,PROVISIONS
Sundakkai vathal,சுண்டக்காய் வத்தல்,8,1000,Kg,PROVISIONS
Ladies finger dry vathal,பெண்கள் விரல் உலர் வத்தல்,8,1000,Kg,PROVISIONS
Ragi flour,ராகி மாவு,8,120,Kg,PROVISIONS
Kambu Flour,கம்பு மாவு,8,190,Kg,PROVISIONS
Veppalai oil,வேப்பலை எண்ணெய்,8,300,Kg,PROVISIONS
Plums,பிளம்ஸ்,8,200,Kg,FRUITS
Pears-Honey Sweet,பேரிக்காய்-தேன் இனிப்பு,8,260,Kg,FRUITS
Passion fruit,பேஷன் பழம்,8,120,Kg,FRUITS
Jack fruit,பலா பழம்,8,200,Kg,FRUITS
Imampasanth,இமாம்பசாந்த்,8,250,Kg,FRUITS
Casalat,கசலாட்,8,120,Kg,FRUITS
Kundu mango,குண்டு மாம்பழம்,8,80,Kg,FRUITS
Black Grapes (Panner),கருப்பு திராட்சை (பன்னீர்),8,220,Kg,FRUITS
Banganapalli,பங்கனப்பள்ளி,8,200,Kg,FRUITS
Rasthali,ரஸ்தாலி,8,100,Kg,FRUITS
Panjavarnam,பஞ்சவர்ணம்,8,120,Kg,FRUITS
Pachai nadan,பச்சை நாடன்,8,90,Kg,FRUITS
Dates Fresh Fruit,தேதிகள் புதிய பழங்கள்,8,150,Kg,FRUITS
Dragon Fruit,டிராகன் பழம்,8,200,Kg,FRUITS
Avocado,அவகேடோ,8,210,Kg,FRUITS
Vallarai,வல்லாரை,8,40,Piece,GREENS
Pasalai keerai,பசலை கீரை,8,40,Piece,GREENS
Swiss chad,சுவிஸ் சாட்,8,40,Piece,GREENS
Agathi Keerai,அகத்தி கீரை,8,30,Piece,GREENS
Arai keerai,அரை கீரை,0,35,Piece,GREENS
Red Keerai,சிவப்பு கீரை,8,30,Piece,GREENS
Mudakathan,முடக்கத்தான்,8,25,Piece,GREENS
Tapioca,மரவள்ளிக்கிழங்கு,8,70,Kg,VEG
Killimokku,கிள்ளிமொக்கு,8,50,Kg,VEG
Bitter Gourd - (pavarkai),பாகற்காய் - (பாவற்காய்),8,90,Kg,VEG
Butter Beans,பட்டர் பீன்ஸ்,8,130,Kg,VEG
